42,Atina,Rijad,3363
34,Ankara,Tel Aviv,3354
140,Ankara,Abu Dhabi,3347
285,Varsava,Tel Aviv,3291
172,Frankfurt,Dzeda,3278
158,Prag,Dzeda,3193
210,Lion,Dubai,3151
25,Pariz,Dubai,3130
181,Sofija,Abu Dhabi,3108
78,Barselona,Tel Aviv,3101
144,Budimpesta,Doha,3085
20,Roterdam,Rijad,3032
148,Tel Aviv,Dzeda,3021
31,Torino,Abu Dhabi,3006
102,Dzeda,Dubai,2940
27,Beograd,Tel Aviv,2916
259,Rijad,Abu Dhabi,2904
182,Lion,Doha,2839
119,Zagreb,Doha,2822
257,Zagreb,Tel Aviv,2794
264,Frankfurt,Rijad,2768
97,Dubai,Doha,2746
170,Prag,Rijad,2729
231,Ankara,Rijad,2724
168,Ankara,Dzeda,2690
272,Prag,Rijad,2682
147,Pariz,Rijad,2664
28,Milano,Abu Dhabi,2659
133,Pariz,Dzeda,2617
120,Atina,Dubai,2610
228,Doha,Dubai,2564
49,Madrid,Dzeda,2504
286,Ljubljana,Abu Dhabi,2494
105,Madrid,Abu Dhabi,2464
60,Atina,Dubai,2400
174,Roterdam,Abu Dhabi,2339
129,Bukurest,Rijad,2338
233,Minhen,Doha,2307
126,Frankfurt,Tel Aviv,2305
248,Rijad,Doha,2268
70,Novi Sad,Tel Aviv,2266
234,Istanbul,Dzeda,2260
258,Pariz,Tel Aviv,2238
218,Minhen,Abu Dhabi,2233
83,Bukurest,Doha,2229
65,Rijad,Dubai,2193
289,Milano,Doha,2192
80,Ljubljana,Rijad,2133
136,Ljubljana,Rijad,2083
16,Istanbul,Dzeda,1991
139,Novi Sad,Dzeda,1986
203,Budimpesta,Dubai,1975
199,Madrid,Dubai,1918
14,Minhen,Abu Dhabi,1865
171,Pariz,Abu Dhabi,1806
204,Frankfurt,Sofija,1798
220,Ankara,Barselona,1794
53,Milano,Barselona,1794
94,Frankfurt,Hamburg,1793
277,Zagreb,Sofija,1793
261,Zagreb,Madrid,1781
159,Rijad,Budimpesta,1776
173,Bukurest,Amsterdam,1773
115,Dubai,Amsterdam,1770
24,Istanbul,Milano,1766
223,Roterdam,Prag,1760
245,Ankara,Torino,1749
66,Atina,Ankara,1742
86,Abu Dhabi,Istanbul,1737
26,Bukurest,Barselona,1736
36,Doha,Viena�,1729
221,Varsava,Torino,1712
101,Sofija,Viena�,1709
104,Abu Dhabi,Minhen,1702
87,Viena�,Milano,1699
161,Madrid,Istanbul,1696
146,Viena�,Hamburg,1693
9,Lion,Torino,1685
279,Novi Sad,Lion,1679
226,Frankfurt,Roterdam,1675
84,Lion,Roterdam,1672
256,Atina,Ankara,1670
69,Frankfurt,Minhen,1654
271,Madrid,Milano,1649
118,Lion,Roterdam,1642
280,Bukurest,Minhen,1638
227,Varsava,Bukurest,1630
88,Hamburg,Torino,1627
281,Milano,Hamburg,1623
121,Zagreb,Atina,1616
164,Barselona,Atina,1612
100,Zagreb,Sofija,1610
1,Tel Aviv,Roterdam,1609
91,Atina,Ankara,1600
246,Milano,Hamburg,1592
61,Torino,Minhen,1587
179,Doha,Pariz,1580
62,Milano,Istanbul,1566
90,Rijad,Amsterdam,1547
183,Ljubljana,Barselona,1547
216,Budimpesta,Sofija,1542
50,Dubai,Varsava,1536
191,Novi Sad,Frankfurt,1526
152,Atina,Amsterdam,1520
12,Lion,Amsterdam,1509
241,Doha,Beograd,1505
238,Madrid,Frankfurt,1504
130,Abu Dhabi,Frankfurt,1497
132,Dzeda,Varsava,1495
64,Prag,Amsterdam,1482
263,Zagreb,Beograd,1480
262,Ljubljana,Ankara,1469
201,Dubai,Beograd,1461
114,Beograd,Milano,1461
127,Abu Dhabi,Prag,1449
22,Varsava,Atina,1449
239,Barselona,Viena�,1434
156,Beograd,Budimpesta,1433
59,Amsterdam,Istanbul,1430
212,Torino,Atina,1425
10,Ljubljana,Budimpesta,1416
188,Zagreb,Minhen,1404
219,Tel Aviv,Ljubljana,1404
128,Zagreb,Sofija,1403
162,Lion,Beograd,1399
55,Prag,Milano,1398
291,Budimpesta,Beograd,1398
93,Madrid,Novi Sad,1393
207,Torino,Viena�,1390
189,Roterdam,Barselona,1386
154,Sofija,Minhen,1383
215,Doha,Amsterdam,1380
230,Sofija,Lion,1359
253,Madrid,Zagreb,1352
137,Ljubljana,Milano,1343
177,Minhen,Viena�,1339
19,Ljubljana,Atina,1334
175,Rijad,Minhen,1325
138,Lion,Hamburg,1310
193,Prag,Roterdam,1300
205,Sofija,Milano,1295
211,Atina,Novi Sad,1273
266,Atina,Ankara,1268
153,Barselona,Atina,1258
276,Roterdam,Madrid,1256
297,Rijad,Beograd,1247
54,Dubai,Torino,1240
122,Doha,Lion,1239
77,Roterdam,Atina,1228
30,Rijad,Torino,1219
292,Ljubljana,Milano,1218
300,Varsava,Lion,1207
229,Roterdam,Istanbul,1197
131,Beograd,Barselona,1177
274,Lion,Bukurest,1167
217,Hamburg,Atina,1166
37,Istanbul,Hamburg,1165
13,Abu Dhabi,Istanbul,1164
294,Milano,Novi Sad,1164
275,Atina,Pariz,1141
267,Amsterdam,Varsava,1133
284,Atina,Minhen,1124
110,Milano,Zagreb,1121
225,Viena�,Atina,1117
150,Ljubljana,Istanbul,1088
151,Torino,Amsterdam,1081
75,Viena�,Istanbul,1078
46,Doha,Ankara,1078
98,Madrid,Roterdam,1077
57,Amsterdam,Roterdam,1075
186,Viena�,Frankfurt,1065
81,Ankara,Sofija,1058
79,Budimpesta,Viena�,1047
196,Roterdam,Lion,1043
134,Budimpesta,Atina,1041
63,Sofija,Novi Sad,1040
48,Hamburg,Frankfurt,1035
82,Rijad,Hamburg,1027
273,Minhen,Novi Sad,1025
165,Pariz,Barselona,996
38,Torino,Milano,996
236,Ljubljana,Madrid,992
43,Abu Dhabi,Amsterdam,989
251,Ankara,Beograd,976
192,Amsterdam,Varsava,963
109,Beograd,Bukurest,946
116,Frankfurt,Zagreb,944
224,Hamburg,Novi Sad,938
197,Ankara,Madrid,929
180,Amsterdam,Sofija,911
167,Lion,Minhen,901
71,Madrid,Sofija,892
255,Tel Aviv,Sofija,870
296,Doha,Varsava,870
39,Roterdam,Atina,869
32,Viena�,Sofija,869
76,Prag,Roterdam,869
4,Hamburg,Ankara,863
99,Hamburg,Roterdam,852
111,Dzeda,Lion,848
85,Minhen,Novi Sad,846
163,Zagreb,Roterdam,846
214,Novi Sad,Frankfurt,842
124,Abu Dhabi,Sofija,842
51,Rijad,Varsava,841
155,Beograd,Lion,814
298,Prag,Ankara,811
288,Dzeda,Budimpesta,809
5,Viena�,Madrid,801
95,Ljubljana,Atina,801
265,Roterdam,Pariz,797
200,Varsava,Beograd,793
198,Doha,Novi Sad,790
254,Budimpesta,Barselona,787
73,Torino,Sofija,776
18,Doha,Ljubljana,776
240,Ankara,Pariz,771
107,Ljubljana,Bukurest,769
6,Viena�,Lion,757
29,Amsterdam,Budimpesta,751
242,Atina,Minhen,751
103,Novi Sad,Hamburg,749
135,Istanbul,Varsava,749
17,Minhen,Lion,747
41,Frankfurt,Barselona,740
117,Tel Aviv,Bukurest,735
113,Beograd,Torino,732
222,Roterdam,Milano,711
184,Bukurest,Frankfurt,707
23,Rijad,Varsava,707
268,Lion,Budimpesta,689
290,Hamburg,Roterdam,689
295,Atina,Ankara,675
176,Doha,Minhen,665
92,Minhen,Novi Sad,650
213,Lion,Roterdam,638
96,Viena�,Frankfurt,634
187,Milano,Atina,630
145,Dubai,Hamburg,627
35,Pariz,Zagreb,626
169,Pariz,Lion,623
40,Istanbul,Hamburg,618
143,Barselona,Atina,613
185,Barselona,Viena�,613
123,Viena�,Beograd,592
293,Pariz,Ankara,587
125,Zagreb,Budimpesta,585
7,Istanbul,Prag,585
260,Lion,Prag,570
209,Milano,Barselona,562
208,Istanbul,Madrid,557
56,Torino,Bukurest,555
232,Amsterdam,Milano,547
160,Novi Sad,Viena�,534
195,Sofija,Ankara,529
166,Abu Dhabi,Pariz,528
2,Minhen,Hamburg,528
142,Viena�,Milano,524
287,Atina,Zagreb,523
178,Atina,Ljubljana,517
8,Barselona,Sofija,509
44,Hamburg,Viena�,509
74,Madrid,Frankfurt,506
282,Novi Sad,Lion,501
270,Minhen,Prag,498
47,Dzeda,Barselona,498
269,Dzeda,Viena�,493
45,Minhen,Istanbul,489
11,Hamburg,Madrid,478
72,Budimpesta,Lion,463
58,Dubai,Atina,461
202,Amsterdam,Varsava,461
299,Lion,Barselona,454
89,Ankara,Budimpesta,446
244,Doha,Beograd,445
252,Doha,Istanbul,445
67,Minhen,Hamburg,442
206,Ljubljana,Prag,441
249,Ljubljana,Torino,438
112,Viena�,Varsava,435
235,Viena�,Novi Sad,431
149,Dzeda,Viena�,430
283,Barselona,Amsterdam,424
247,Doha,Zagreb,420
106,Novi Sad,Frankfurt,414
278,Milano,Novi Sad,410
141,Barselona,Pariz,396
68,Milano,Ankara,393
52,Torino,Sofija,388
108,Pariz,Bukurest,365
250,Ankara,Pariz,364
15,Atina,Roterdam,361
21,Zagreb,Hamburg,354
3,Varsava,Lion,351
237,Novi Sad,Pariz,343
194,Barselona,Zagreb,339
157,Ljubljana,Amsterdam,323
243,Atina,Zagreb,314
33,Dubai,Istanbul,313
190,Dubai,Torino,301
