2023,1,3322210.09,3322210.09
2023,2,3498638.3,6820848.39
2023,3,4279637.88,11100486.27
2023,4,4601947.12,15702433.39
2023,5,4138703.98,19841137.37
2023,6,4066056.27,23907193.64
2023,7,4317948.14,28225141.78
2023,8,2534618.29,30759760.07
2023,9,3915863.17,34675623.24
2023,10,4415826.9,39091450.14
2023,11,4208285.42,43299735.56
2023,12,3907126.92,47206862.48
2024,1,3717429.56,50924292.04
2024,2,4025560.82,54949852.86
2024,3,4578474.99,59528327.85
2024,4,4431679.34,63960007.19
2024,5,4743585.76,68703592.95
2024,6,4605191.09,73308784.04
2024,7,4630689.56,77939473.6
2024,8,2761161.38,80700634.98
2024,9,4498928.46,85199563.44
2024,10,4898060.51,90097623.95
2024,11,4413416.79,94511040.74
2024,12,4653285.24,99164325.98
