Key Client 60,15680172.56
Key Client 45,9428403.54
Key Client 46,8817583.93
Key Client 40,5654245.19
Key Client 18,5563490.14
Key Client 56,5444614.8
Key Client 10,4698859.94
Key Client 27,3714062.42
Key Client 24,3701107.69
Key Client 21,3486773.51
Key Client 33,3063712.63
Key Client 32,2448626.57
Key Client 26,2338645.5
Key Client 22,2152007.11
Key Client 19,2062959.21
Key Client 13,1875364.96
Key Client 43,1379593.23
Key Client 52,1116004.48
Key Client 7,1077860.03
Key Client 20,880420.89
Key Client 53,871676.36
Key Client 35,851426.03
Key Client 2,846055.88
Key Client 9,767787.52
Key Client 25,751189.02
Key Client 48,709124.86
Key Client 12,663629.54
Key Client 42,653933.92
Key Client 1,613735.7
Key Client 31,572556.57
Key Client 59,570321.25
Key Client 36,539785.86
Key Client 3,536569.44
Key Client 44,527885.79
Key Client 39,384858.87
Key Client 41,381738.78
Key Client 50,376185.18
Key Client 8,366615.12
Key Client 49,346973.24
Key Client 16,334923.16
Key Client 55,324298.13
Key Client 28,280729.68
Key Client 30,268375.48
Key Client 37,263888.63
Key Client 57,240222.12
Key Client 47,236807.14
Key Client 11,208081.12
Key Client 23,184353.58
Key Client 14,163684.32
Key Client 17,146329.86
Key Client 58,132245.17
Key Client 38,121964.75
Key Client 5,83253.98
Key Client 29,80465.3
Key Client 15,51727.85
Key Client 51,34805.73
Key Client 54,34317.72
Key Client 4,24789.44
Key Client 6,21508.24
Key Client 34,10997.34
