2023,1,3322210.09,NULL,NULL,NULL,NULL
2023,2,3498638.3,NULL,NULL,3322210.09,0.05
2023,3,4279637.88,NULL,NULL,3498638.3,0.22
2023,4,4601947.12,NULL,NULL,4279637.88,0.08
2023,5,4138703.98,NULL,NULL,4601947.12,-0.1
2023,6,4066056.27,NULL,NULL,4138703.98,-0.02
2023,7,4317948.14,NULL,NULL,4066056.27,0.06
2023,8,2534618.29,NULL,NULL,4317948.14,-0.41
2023,9,3915863.17,NULL,NULL,2534618.29,0.54
2023,10,4415826.9,NULL,NULL,3915863.17,0.13
2023,11,4208285.42,NULL,NULL,4415826.9,-0.05
2023,12,3907126.92,NULL,NULL,4208285.42,-0.07
2024,1,3717429.56,3322210.09,0.12,3907126.92,-0.05
2024,2,4025560.82,3498638.3,0.15,3717429.56,0.08
2024,3,4578474.99,4279637.88,0.07,4025560.82,0.14
2024,4,4431679.34,4601947.12,-0.04,4578474.99,-0.03
2024,5,4743585.76,4138703.98,0.15,4431679.34,0.07
2024,6,4605191.09,4066056.27,0.13,4743585.76,-0.03
2024,7,4630689.56,4317948.14,0.07,4605191.09,0.01
2024,8,2761161.38,2534618.29,0.09,4630689.56,-0.4
2024,9,4498928.46,3915863.17,0.15,2761161.38,0.63
2024,10,4898060.51,4415826.9,0.11,4498928.46,0.09
2024,11,4413416.79,4208285.42,0.05,4898060.51,-0.1
2024,12,4653285.24,3907126.92,0.19,4413416.79,0.05
