TransactionID,CustomerID,PurchaseDate,Amount,ProductID
1,347,2021-11-22,410.0035489297376,58
2,531,2021-01-31,405.94328511736364,26
3,795,2021-07-05,175.52204344977127,97
4,473,2021-09-20,361.79836987135997,38
5,295,2021-04-02,477.4002480468525,22
6,593,2021-05-21,447.5985657898571,58
7,114,2020-11-16,340.59023619393867,20
8,987,2022-10-06,480.12460517091574,44
9,322,2020-10-30,52.17717723985864,58
10,178,2022-03-10,348.27692631504266,4
11,228,2022-04-10,202.137180277772,10
12,513,2021-10-25,33.635341440578856,39
13,325,2022-09-18,163.1003320263856,9
14,668,2021-03-15,18.21446949308119,59
15,213,2021-07-05,413.9251730727736,60
16,751,2020-02-27,481.2624281592558,15
17,235,2021-05-13,298.12992758714284,10
18,718,2022-04-20,490.2438493249668,86
19,479,2021-08-30,403.91763269003053,38
20,1,2020-01-25,493.39078621219414,29
21,105,2020-12-13,446.95394827856245,24
22,85,2021-02-15,139.3655113265374,67
23,520,2021-03-23,202.02514692251518,91
24,683,2021-02-25,264.7531708305271,44
25,368,2020-03-24,106.22577781134099,52
26,447,2020-02-25,43.55990942859178,38
27,237,2022-07-26,319.8512595616232,53
28,709,2020-11-16,125.17246756698967,14
29,232,2020-09-01,149.32956282761376,2
30,900,2021-05-13,82.82069417645873,11
31,101,2021-05-30,318.9755685945918,1
32,557,2022-04-02,18.96860085369305,21
33,486,2021-02-11,494.8943871436267,28
34,552,2021-01-13,357.74187189017357,78
35,856,2021-07-02,405.666597052796,69
36,568,2021-09-18,365.2761657308429,38
37,302,2022-06-26,474.2234436508876,32
38,973,2023-01-01,160.59098742797437,29
39,49,2020-12-24,221.11822616538788,51
40,147,2022-11-10,211.86205301289007,78
41,658,2020-08-15,222.8235837881177,4
42,729,2021-10-21,433.5598746104592,6
43,226,2020-07-27,461.87811117004463,15
44,471,2023-01-01,268.6618805526005,21
45,277,2022-08-24,211.67450049909576,7
46,899,2020-10-08,395.5751359333798,16
47,734,2021-11-17,154.0492761459965,5
48,231,2022-05-24,463.70136814056633,54
49,448,2020-07-26,122.3444139042806,70
50,395,2020-12-16,126.25994254022692,62
51,509,2020-01-10,152.38780875150468,32
52,31,2021-09-10,297.088190380107,56
53,96,2021-12-27,86.96780536098106,69
54,153,2021-03-26,190.60598530334843,57
55,737,2020-06-14,13.97614397060183,8
56,53,2020-05-01,152.77082525911786,78
57,537,2021-10-14,459.4785219757911,78
58,342,2022-01-26,270.2697043944067,25
59,663,2020-04-22,355.08947908478797,22
60,780,2021-10-17,287.3841192847425,76
61,326,2022-05-02,278.3278978762213,63
62,119,2020-09-25,224.04714585595423,91
63,587,2022-06-08,438.1805244636255,63
64,644,2020-10-07,207.95658566474427,77
65,757,2022-07-02,300.9529597280227,35
