Automotive,Key Client 60,15680172.5645142,1
Automotive,Key Client 45,9428403.53515625,2
Automotive,Key Client 40,5654245.1914978,3
Automotive,Key Client 24,3701107.69271851,4
Automotive,Key Client 19,2062959.20687866,5
Automotive,Key Client 20,880420.891876221,6
Automotive,Key Client 25,751189.018676758,7
Automotive,Key Client 42,653933.921386719,8
Automotive,Key Client 1,613735.699127197,9
Automotive,Key Client 37,263888.630371094,10
Automotive,Key Client 47,236807.13885498,11
Automotive,Key Client 23,184353.580322266,12
Automotive,Key Client 17,146329.858856201,13
FMCG,Key Client 46,8817583.93234253,1
FMCG,Key Client 18,5563490.14007568,2
FMCG,Key Client 21,3486773.50881958,3
FMCG,Key Client 9,767787.517791748,4
FMCG,Key Client 48,709124.858093262,5
FMCG,Key Client 31,572556.568145752,6
FMCG,Key Client 39,384858.870483398,7
FMCG,Key Client 49,346973.240753174,8
FMCG,Key Client 55,324298.130065918,9
FMCG,Key Client 28,280729.679626465,10
FMCG,Key Client 29,80465.2994995117,11
FMCG,Key Client 4,24789.4397583008,12
Industrial,Key Client 10,4698859.94137573,1
Industrial,Key Client 26,2338645.49697876,2
Industrial,Key Client 13,1875364.95877075,3
Industrial,Key Client 52,1116004.48181152,4
Industrial,Key Client 36,539785.857177734,5
Industrial,Key Client 3,536569.439086914,6
Industrial,Key Client 8,366615.118713379,7
Industrial,Key Client 54,34317.7202148438,8
Pharma,Key Client 56,5444614.80300903,1
Pharma,Key Client 53,871676.35736084,2
Pharma,Key Client 35,851426.026367188,3
Pharma,Key Client 2,846055.882629395,4
Pharma,Key Client 12,663629.539794922,5
Pharma,Key Client 44,527885.790100098,6
Pharma,Key Client 51,34805.7303466797,7
Pharma,Key Client 34,10997.33984375,8
Retail,Key Client 27,3714062.4225769,1
Retail,Key Client 33,3063712.62762451,2
Retail,Key Client 32,2448626.56893921,3
Retail,Key Client 22,2152007.10720825,4
Retail,Key Client 43,1379593.2265625,5
Retail,Key Client 7,1077860.03085327,6
Retail,Key Client 59,570321.250518799,7
Retail,Key Client 41,381738.780914307,8
Retail,Key Client 50,376185.179901123,9
Retail,Key Client 16,334923.159973145,10
Retail,Key Client 30,268375.481384277,11
Retail,Key Client 57,240222.119628906,12
Retail,Key Client 11,208081.120544434,13
Retail,Key Client 14,163684.319793701,14
Retail,Key Client 58,132245.169494629,15
Retail,Key Client 38,121964.750061035,16
Retail,Key Client 5,83253.9799194336,17
Retail,Key Client 15,51727.8501281738,18
Retail,Key Client 6,21508.2398986816,19
