140,Abu Dhabi,1511.15
34,Tel Aviv,1465.16
42,Rijad,1453.28
285,Tel Aviv,1450.72
172,Dzeda,1439.25
25,Dubai,1438.5
158,Dzeda,1410.32
181,Abu Dhabi,1404.85
144,Doha,1375.11
31,Abu Dhabi,1358.9
210,Dubai,1349.92
148,Dzeda,1348.45
78,Tel Aviv,1338.73
20,Rijad,1337.51
259,Abu Dhabi,1305.9
27,Tel Aviv,1278.29
119,Doha,1261.54
182,Doha,1261.02
102,Dubai,1253.78
257,Tel Aviv,1247.4
264,Rijad,1237.39
97,Doha,1231.06
168,Dzeda,1223.55
170,Rijad,1204.65
120,Dubai,1191.19
231,Rijad,1190.65
272,Rijad,1183.9
28,Abu Dhabi,1164.07
133,Dzeda,1160.85
228,Dubai,1157.6
105,Abu Dhabi,1125.78
147,Rijad,1124.53
49,Dzeda,1089.41
286,Abu Dhabi,1069.39
233,Doha,1065.88
60,Dubai,1062.04
83,Doha,1039.87
126,Tel Aviv,1030.27
129,Rijad,1028.9
70,Tel Aviv,1020.43
258,Tel Aviv,1013.95
234,Dzeda,1009.08
248,Doha,999.48
174,Abu Dhabi,999.02
80,Rijad,963.54
65,Dubai,959.14
289,Doha,956.97
218,Abu Dhabi,952.23
136,Rijad,902.59
139,Dzeda,900.1
203,Dubai,886.24
16,Dzeda,868.81
199,Dubai,840.02
14,Abu Dhabi,836.81
171,Abu Dhabi,812
94,Hamburg,342.73
277,Sofija,337.44
220,Barselona,335.53
204,Sofija,335.15
173,Amsterdam,334.11
159,Budimpesta,332.67
261,Madrid,332.55
24,Milano,332.09
115,Amsterdam,331.3
53,Barselona,330.1
223,Prag,325.31
101,Viena�,323.81
86,Istanbul,321.59
104,Minhen,320.73
100,Sofija,320.24
256,Ankara,319.83
66,Ankara,319.7
271,Milano,319.4
245,Torino,319.04
36,Viena�,317.46
26,Barselona,317.19
9,Torino,315.69
221,Torino,315.39
161,Istanbul,313.93
87,Milano,313.72
84,Roterdam,312.94
146,Hamburg,312.65
226,Roterdam,310.91
118,Roterdam,309.15
91,Ankara,305.34
246,Hamburg,305.32
279,Lion,304.59
280,Minhen,303.34
227,Bukurest,303.13
69,Minhen,302.08
1,Roterdam,301.8
121,Atina,300.93
164,Atina,297.75
216,Sofija,297.58
61,Minhen,297.01
281,Hamburg,296.82
88,Torino,296.47
62,Istanbul,294.72
183,Barselona,292.77
241,Beograd,288.26
50,Varsava,287.51
12,Amsterdam,287.01
179,Pariz,286.24
152,Amsterdam,283.3
191,Frankfurt,283.01
263,Beograd,282.95
90,Amsterdam,282.93
238,Frankfurt,281.55
132,Varsava,280.7
64,Amsterdam,280.56
127,Prag,279.36
262,Ankara,276.71
130,Frankfurt,273.94
22,Atina,273.42
55,Milano,268.56
219,Ljubljana,268.08
156,Budimpesta,267.88
201,Beograd,267.82
128,Sofija,265.82
239,Viena�,264.1
162,Beograd,263.8
188,Minhen,261.37
212,Atina,260.53
189,Barselona,259.53
10,Budimpesta,259.25
291,Beograd,259.22
59,Istanbul,259.14
93,Novi Sad,258.54
114,Milano,257.71
193,Roterdam,254.5
230,Lion,254.14
19,Atina,253.85
215,Amsterdam,251.62
154,Minhen,250.12
137,Milano,249.23
207,Viena�,247.77
253,Zagreb,247.5
